NAME,SMILES
Ethyl acetoacetate,CCOC(=O)CC(C)=O
Methyl acetoacetate,COC(=O)CC(C)=O
tert-Butyl acetoacetate,CC(C)(C)OC(=O)CC(C)=O
Ethyl benzoylacetate,O=C(CC(=O)OCC)c1ccccc1
Ethyl 3-oxohexanoate,CCCC(=O)CC(=O)OCC
Methyl 3-oxopentanoate,CCC(=O)CC(=O)OC
Ethyl 4-methyl-3-oxopentanoate,CCOC(=O)CC(=O)C(C)C
