NAME,SMILES
Ethyl cyanoacetate,CCOC(=O)CC#N
Methyl cyanoacetate,COC(=O)CC#N
tert-Butyl cyanoacetate,CC(C)(C)OC(=O)CC#N
Malononitrile,N#CCC#N
Benzyl cyanoacetate,O=C(CC#N)OCc1ccccc1
Ethyl 2-cyanopropanoate,CCOC(=O)C(C)C#N
